name,gender,birth_count
Amador,M,32
Glinda,F,10
Wathena,F,6
Odelle,F,8
Danna,F,20
Evy,F,5
Jb,M,7
Harvel,M,12
Shirli,F,5
Rudolf,M,34
Helena,F,190
Philo,M,9
Lomax,M,8
Renata,F,9
Kirby,M,68
Aldina,F,5
Delphin,M,7
Lille,F,6
Adolf,M,15
Macon,M,15
Willodene,F,8
Carlis,M,25
Dannie,F,16
Neill,M,19
Ignatius,M,25
Avanelle,F,8
Mertie,F,15
Ermal,M,5
Evert,M,66
Sameul,M,9
Lenton,M,14
Evadene,F,8
Hans,M,73
Wyman,M,46
Cyrilla,F,7
Oletha,F,21
Arlene,F,3683
Bettyjo,F,12
Gail,M,194
Lyman,M,126
Evon,F,33
Lorane,F,7
Ferd,M,18
Margarine,F,8
Remus,M,9
Garner,M,19
Orlene,F,12
Imo,F,19
Sullivan,M,8
Hilario,M,30
Florie,F,10
Harry,F,33
Michaela,F,6
Rondel,M,7
Madge,F,131
Lorenso,M,6
Annetta,F,120
Pearly,M,5
Benjamin,M,1409
Naydene,F,5
Zane,M,80
Caryl,M,8
Melfred,M,5
Ardythe,F,11
Judge,M,39
Lang,M,6
Amandus,M,5
Buena,F,17
Alma,F,1678
Selma,F,212
Sarita,F,12
Bryant,M,85
Izell,M,8
Quinton,M,39
Archibald,M,23
Aviva,F,5
Milly,F,17
Ismael,M,53
Ruthella,F,6
Jenette,F,9
Loretha,F,38
Loraine,M,7
Bernell,M,14
Ivo,M,9
Wilmon,M,8
Ora,M,66
Pola,F,9
Nestor,M,24
Deryl,M,22
Cecile,F,270
Crockett,M,5
Wheeler,M,9
Clyde,M,2352
Valora,F,12
Charlyn,F,16
Linell,M,6
Vera,F,1813
Sherman,M,509
Ellena,F,14
Golden,M,19
Akira,M,10
Raymond,F,47
Lupe,F,334
Earnesteen,F,13
Paul,M,12556
Mazie,F,86
Ardys,F,25
Otto,M,290
Larraine,F,7
Melburn,M,16
Mardell,M,5
Celie,F,6
Valentin,M,28
Gurnie,M,6
Roberto,F,7
Lether,F,6
Laura,M,20
Ford,M,35
Mitsuru,M,6
Amie,F,30
Odie,M,34
Trena,F,5
Lewis,F,12
Arbutus,F,22
Mabell,F,7
Lelah,F,16
Pedro,M,357
Asencion,M,6
Stanford,M,86
Eunia,F,5
Kenwood,M,6
Rosalie,M,5
Josephene,F,5
Ruthanna,F,7
Jeanna,F,5
Christina,F,275
Vernestine,F,6
Fujiko,F,6
Wentworth,M,5
Henri,M,24
Myrna,F,1060
Lanny,M,123
Celestino,M,20
Franz,M,21
Kirk,M,61
Carmon,M,16
Alec,M,23
Caryl,F,150
Pauletta,F,26
Nancee,F,21
Jenell,F,15
Dell,F,36
Sherie,F,6
Farley,M,12
Loy,M,79
Wana,F,6
Conway,M,27
Tracy,F,21
Mc,M,6
Virgie,M,12
Vernell,F,173
Algia,F,9
Shelda,F,11
Peola,F,9
Deforest,M,16
Blanchard,M,8
Louie,F,20
Bettye,F,699
Ardeth,F,32
Leandra,F,9
Isaias,M,20
Glenda,F,1144
Marceline,F,28
Ethel,F,3004
Tomasita,F,8
Hilaria,F,15
Claryce,F,9
Lafern,F,9
Roberto,M,265
Esco,M,7
Nelo,M,5
Coston,M,5
Ladean,F,13
Aleen,F,22
Ann,M,27
Blanton,M,8
Lorence,M,9
Levita,F,5
Nana,F,27
Corine,F,219
Dorrance,M,14
Sarrah,F,5
Sonia,F,226
Pierce,M,32
Lauralee,F,8
Johan,F,8
Arminta,F,11
Madalyn,F,28
Snowden,M,6
Lorne,M,25
Ezequiel,M,11
William,F,163
Vara,F,12
Gwendolyn,F,984
Todd,M,37
Renald,M,12
Cynthia,M,9
Laverda,F,9
Deloria,F,8
Lavena,F,19
Delaine,M,6
Kathaleen,F,36
Lyn,F,20
Loucille,F,8
Soloman,M,7
Lorean,F,16
