name,gender,birth_count
Isom,M,5
Marlin,F,11
Cass,F,8
Mery,F,6
Toinette,F,46
Dawnielle,F,6
Maxwell,M,71
Sara,M,12
Rashell,F,26
Pattianne,F,5
Leeta,F,6
Roselia,F,5
Lazaro,M,61
Marne,F,56
Twala,F,10
Jonnathan,M,9
Sunil,M,20
Per,M,7
Bettyjean,F,6
Clista,F,6
Laverna,F,28
Lutricia,F,17
Breanna,F,6
Truett,M,6
Brietta,F,5
Bruno,M,75
Letoya,F,9
Maurice,M,1741
Matthews,M,17
Andriana,F,6
Denessa,F,7
Sonnie,M,8
Merrideth,F,5
Crissa,F,9
Antonya,F,13
Mona,F,630
Bernita,F,54
Janalee,F,18
Larinda,F,22
Ludwig,M,9
Taci,F,7
Arlyn,F,12
Gerald,M,4401
Romulo,M,16
Rivkah,F,6
Sherice,F,57
Darlisa,F,10
Kea,F,11
Samatha,F,49
Bridgitte,F,23
Alysha,F,12
Tonna,F,22
Kimmy,M,5
Shellia,F,12
Blanca,F,364
Javier,M,912
Doretta,F,25
Tobey,M,23
Devera,F,5
Eldridge,M,52
Antonetta,F,12
Kalen,M,8
Stanely,M,6
Teana,F,10
Marcelle,F,55
Heather,F,14668
Rondey,M,7
Evelia,F,14
Avelina,F,5
Janece,F,7
Nathalie,F,103
Derrin,M,18
Yaron,M,9
Mieke,F,8
Duchess,F,10
Reanee,F,5
Delona,F,8
Deneane,F,7
Shelette,F,5
Jamieson,M,16
Sharod,M,5
Henrik,M,9
Catarino,M,25
Raylene,F,45
Emilee,F,14
Chon,M,7
Tzvi,M,8
Canda,F,7
Gloria,F,2039
Keva,F,29
Johnita,F,8
Donalyn,F,9
Stephanie,F,15390
France,F,13
Shavon,F,31
Bela,M,10
Lavance,M,10
Chester,M,515
Otis,F,9
Brijida,F,5
Dustee,F,5
Tamyra,F,38
Gill,M,13
Junelle,F,5
Varsha,F,5
Cecilio,M,30
Taralee,F,9
Frederic,M,146
Lenise,F,17
Julian,F,12
Patrisia,F,7
Sandeep,M,13
Jimi,F,20
Milessa,F,6
Alix,M,5
Tracei,F,5
Octavius,M,29
Willem,M,6
Roseland,F,7
Bartt,M,10
Chinita,F,9
Vontella,F,6
Sherry,M,26
Laureen,F,105
Anite,F,5
Jerlene,F,8
Otha,M,32
Sylvan,M,5
Antwon,M,33
Deona,F,19
Jeanmarie,F,56
Stephania,F,52
Melania,F,10
Marvette,F,15
Valita,F,9
Tiya,F,6
Tambria,F,5
Tani,F,21
Penne,F,8
Werner,M,16
Gerall,M,5
Karla,F,1633
Aundra,F,11
Sherryann,F,7
Meagen,F,5
Myreon,M,6
Brigett,F,19
Maricel,F,9
Julaine,F,10
Batina,F,6
Oran,M,32
Adron,M,9
Jacquin,M,5
Alvin,F,17
Daric,M,20
Khristine,F,31
Trellis,F,7
Cynthia,F,12921
Harlon,M,12
Kristianna,F,8
Thais,F,10
Susette,F,32
Lalena,F,49
Darius,M,262
Marlyce,F,6
Leissa,F,5
Lauryn,F,13
Elnora,F,41
Cord,M,13
Alethea,F,87
Giancarlo,M,23
Keasha,F,13
Tonyetta,F,5
Roben,F,7
Montez,M,25
Malikah,F,10
Sky,M,19
Coby,F,9
Kerin,M,5
Halona,F,7
Archibald,M,8
Avis,F,86
Shuna,F,9
Dietra,F,37
Jewell,F,73
Natividad,M,18
Ondre,M,10
Lorianne,F,60
Anthony,M,21194
Valena,F,9
Onesimo,M,6
Osbaldo,M,9
Natividad,F,16
Daisy,F,308
Napoleon,M,62
Carlotta,F,108
Sharif,F,5
Christne,F,5
Antia,F,5
Sativa,F,6
Steffan,M,19
Laurissa,F,9
Sean,M,10361
Sherronda,F,13
Troy,M,8445
Fannie,F,99
Lyle,F,9
Lieselotte,F,5
Barron,M,83
Aleksandar,M,5
Harland,M,19
Melessa,F,16
Trinidad,M,55
Vittorio,M,16
Shauntelle,F,6
Jonee,F,5
Angie,M,5
Benuel,M,6
Clotilde,F,6
Chevonne,F,6
Tamara,M,12
Elwyn,M,7
Derwood,M,12
Migdalia,F,116
Danniel,F,5
Katelyn,F,9
Aldo,M,76
Acey,M,7
Lehua,F,5
Dorean,F,7
Shaun,M,988
Dorri,F,5
Timothea,F,6
Zipporah,F,6
Hewitt,M,5
Doroteo,M,8
Lorissa,F,37
Kaylee,F,18
Gannon,M,26
Jerimy,M,17
Bryon,M,450
Patrick,M,11748
Derinda,F,19
Ubaldo,M,12
Ula,F,7
Davide,M,8
Reeshemah,F,10
Christyn,F,7
Shaula,F,5
Donta,M,19
Sonia,F,1768
Letetia,F,9
Joao,M,17
Simona,F,51
Hannelore,F,5
Kerrilyn,F,5
Marcellina,F,17
Delos,M,6
Cortland,M,9
Glendora,F,11
Juwan,F,5
Selia,F,5
Jeniece,F,10
Loura,F,15
Shanika,F,8
Sharonda,F,146
Corin,F,9
Larnell,M,14
Tange,F,6
Cory,F,103
Enza,F,23
Neely,M,5
Jimmy,M,3654
Freedom,M,5
Carlie,M,13
Cythnia,F,8
Roel,M,66
Marybel,F,18
Jondavid,M,5
Dann,M,21
Jamise,F,5
Tova,F,21
Isidra,F,7
Jonus,M,5
Danni,F,19
Tashawna,F,7
Santana,M,11
Shawntell,F,12
Janes,M,7
Lorenza,M,45
Evelyne,F,8
Kirsten,F,1034
Hillard,M,16
Jodi,F,4184
Maryan,F,5
Rochell,M,7
Esmeralda,F,221
Lorrena,F,8
Lonnetta,F,9
Orlando,M,723
Zenas,M,6
Lethia,F,7
Rocky,M,253
Paulino,M,21
Dodie,F,79
Hendrick,M,6
Betrice,F,8
Johana,F,12
Precilla,F,6
Larrie,F,6
Rona,F,138
Carine,F,10
Heron,M,9
