name,gender,birth_count
Nitza,F,5
Pilar,F,31
Delmas,M,20
Alix,M,5
Finis,M,17
Joyice,F,12
Justine,F,220
Devon,M,55
Robbert,M,14
Darlise,F,6
Hayden,M,45
Rawn,M,5
Shaunda,F,5
Darnice,F,5
Amalio,M,5
Iver,M,8
Terrin,F,6
Edith,M,5
Cherie,F,649
Anitha,F,8
Reg,M,11
Barbaraa,F,5
Jackie,F,2739
Denice,F,372
Annemarie,F,185
Winton,M,7
Aharon,M,7
Janella,F,21
Vertis,M,7
Rollan,M,6
Ruth,M,12
Kip,F,8
Sissy,F,16
Kimra,F,12
Terryann,F,8
Rand,M,79
Stoney,M,32
Troyce,M,6
Garnett,M,35
Eddie,F,110
Marilee,F,151
Muriel,M,5
Henritta,F,6
Horace,M,453
Stevan,M,76
Fredrick,F,6
Kennis,M,8
Tony,F,67
Troy,F,50
Gisella,F,5
Ulysee,M,6
Thereasa,F,12
Amy,F,5584
Cozette,F,20
Dillon,M,6
Lyndon,M,192
Leonor,F,70
Pattie,F,286
Elray,M,5
Stuart,F,7
Barrington,M,10
Adelina,F,53
Danniel,M,52
Dorian,F,80
Crist,M,9
Brendon,M,12
Billie,F,832
Cy,M,20
Abelino,M,5
Hayward,M,69
Gaetano,M,23
Vicci,F,18
Kandice,F,29
Nicky,F,10
Junia,F,5
Vernadine,F,10
Robbye,F,8
Marisel,F,8
Teryl,F,30
Arlin,M,44
Lanese,F,5
Judi,F,425
Loren,F,107
Ramone,M,8
Dorian,M,53
Cheyrl,F,10
Onofre,M,5
Danford,M,8
Marua,F,7
Tacy,F,21
Otho,M,18
Loetta,F,11
Marolyn,F,22
Imogene,F,72
Freddie,F,88
Shulem,M,13
Tito,M,37
Karon,M,10
Kristan,F,32
Augie,M,21
Daryl,M,1557
Johannah,F,11
Cristy,F,86
Geneen,F,7
Kenlyn,F,5
Clearance,M,6
Wally,M,185
Ina,F,172
Orlanda,M,13
Terrina,F,7
Delcie,F,9
Hedwig,F,6
Frank,M,10932
Arvis,M,11
Chrys,F,12
Gaylynn,F,16
Suzette,F,464
Loleta,F,15
Samson,M,20
Salome,F,15
Bernardo,M,83
Carlo,M,115
Oscar,F,5
Estela,F,97
Katrina,F,673
Basilio,M,17
Charla,F,164
Carla,F,3936
Jaquelyn,F,5
Evelyn,M,19
Marga,F,10
Glennette,F,8
Tamula,F,5
Elina,F,7
Lucille,F,792
Hester,F,59
Yvonna,F,26
Naomie,F,5
Loretto,F,14
Tommi,F,19
Enola,F,22
Josefina,F,122
Charleen,F,101
Clovis,M,23
Ronelle,F,6
Jaclynn,F,13
Neftali,M,12
Terrace,M,14
Ola,F,108
Charmayne,F,23
Reta,F,113
Rosevelt,M,16
Mando,M,8
Jone,F,14
Alina,F,14
Teressa,F,212
Lizanne,F,32
Harmon,M,52
Laural,F,20
Conn,M,5
Brit,M,13
Sarah,F,3872
Devra,F,16
Darcella,F,6
Lorilyn,F,18
Carissa,F,8
Rebecka,F,18
Cheskel,M,11
Cyrena,F,8
Neal,M,1224
Cathline,F,9
Kimmie,M,8
Herman,M,1183
Maverick,M,61
Bryanna,F,5
Marshall,F,17
Kathlee,F,6
Dorcas,F,74
Stacey,F,1215
Hal,M,418
Servando,M,18
Charisse,F,86
Alvan,M,9
Arvilla,F,13
Monica,M,7
Wendle,M,6
Carlene,F,332
Darnell,F,51
Beatris,F,7
Leandra,F,19
Bradford,M,616
Karlin,M,6
Jerol,M,5
Milta,F,5
Fishel,M,5
Montez,F,9
Venise,F,13
Myna,F,5
Marika,F,17
Janie,F,1128
Jackolyn,F,7
Jenean,F,9
Meredith,M,31
Claudine,F,69
Donice,F,13
Worth,M,9
Rande,F,6
Eladio,M,16
Pinkie,F,19
Jannifer,F,13
Ruthell,F,5
Chriselda,F,5
Farris,M,21
Borach,M,6
Arliss,M,6
Daryn,F,12
Darwin,M,395
Tobi,F,35
Lagena,F,6
Lacreta,F,6
Allan,F,8
Kathren,F,10
Raena,F,5
Murrel,M,7
Stacy,F,1481
Rossana,F,16
Janice,M,27
Lorella,F,5
Whitney,F,11
Mariane,F,30
Star,F,70
Layton,M,33
Maryrose,F,27
Catherine,F,10022
Thermon,M,8
Gailen,M,5
Junius,M,37
Bekki,F,10
Cynthea,F,13
Jolynne,F,13
Delos,M,16
Roseline,F,7
Veronica,M,8
Mancy,F,5
Sander,F,10
Lene,F,10
Midge,F,21
Marlene,F,1783
Damon,M,340
Kale,M,5
Vinton,M,10
Tammara,F,69
Phyllis,F,4685
Ilona,F,40
Cecille,F,7
Elia,F,56
Darien,M,12
Waldon,M,7
Delinda,F,73
Tonia,F,307
Waco,M,8
Lindel,M,11
Clancy,M,12
Chellie,F,7
Loubertha,F,6
Lorraine,M,5
Mendy,F,14
Alba,F,32
Catherina,F,13
Ettie,F,5
Marquitta,F,9
Milly,F,18
Bernette,F,20
Laure,F,102
Jeralyn,F,17
Gearld,M,80
Marietta,F,193
Adeline,F,68
Dylan,M,30
Koleen,F,15
Rhonda,M,21
Vonita,F,11
Kyna,F,7
Bracha,F,6
Lorretta,F,62
Orelia,F,10
Okey,M,10
Vana,F,12
Misti,F,16
Anothy,M,7
Marvetta,F,11
Jory,F,8
Lavon,M,32
Carma,F,75
Jimm,M,5
Derrie,F,7
Sandrea,F,5
Marylynn,F,41
Jinx,F,7
Jannine,F,16
Francenia,F,7
Crispin,M,7
Ferman,M,9
Kimothy,M,7
Arminda,F,11
Phillipe,M,5
Wendee,F,10
Benji,M,14
Mariam,F,21
Gwynette,F,6
Melony,F,60
Lacinda,F,17
Adelle,F,19
Velencia,F,8
Lorilynn,F,5
Dorie,F,44
Tandra,F,19
Asa,F,10
Shiela,F,131
Judithann,F,5
Elli,F,5
Serena,F,163
Rockne,M,7
Aretta,F,14
Blane,M,114
Caridad,F,19
Bernhard,M,24
Kieran,M,32
Manuella,F,6
Fredrik,M,6
Mabeline,F,5
Andrea,M,82
Johnsie,F,11
Monie,F,8
Jesse,M,2431
Bill,M,4603
Joelene,F,13
April,F,1561
Jackeline,F,6
Ddnna,F,7
Dennie,F,10
Lynnet,F,5
Belva,F,63
Devery,F,7
Arlynn,M,5
Jeffrey,M,26271
Aldean,F,6
Estel,M,18
Lanae,F,17
Candia,F,9
Melonee,F,11
Elias,M,154
Sholem,M,8
Doug,M,1705
Stevphen,M,5
Gorden,M,20
Sonda,F,18
Dorey,F,5
Dolores,M,15
Laval,M,7
Crissie,F,5
Naaman,M,6
Almeda,F,24
Marylon,F,5
Cornelia,F,172
Nelma,F,8
Launa,F,39
