name,gender,birth_count
Andres,M,8
Mart,M,5
Charles,F,33
Lyda,F,36
Willie,F,379
Bonnie,F,59
Phil,M,16
Dina,F,10
Blanche,F,763
Marcia,F,18
Matthew,M,108
Amie,F,11
Eli,M,51
Odis,M,5
Mahalie,F,5
Camille,M,5
Leonora,F,24
Evalyn,F,15
Fred,F,11
Wilmer,M,15
Luisa,F,9
Billie,M,12
Milford,M,6
Tillman,M,7
Texas,F,5
Okey,M,5
Ed,M,275
Annie,F,1844
Wilfrid,M,5
Adelaide,F,104
Steve,M,54
Bud,M,36
Edgar,M,266
Verner,M,7
Octavie,F,9
Belle,F,272
Abigail,F,13
Myrtis,F,10
Magnolia,F,10
Polk,M,5
Arden,M,5
Litha,F,6
Emmitt,M,11
Ab,M,5
Effie,M,5
Fritz,M,16
Kate,F,331
Sumner,M,5
Pedro,M,19
Guss,M,8
Pansy,F,55
Dan,M,140
Roxy,F,8
Eleanora,F,13
Ewell,M,6
Otho,M,27
Josh,M,15
Jewel,F,23
Odie,F,9
Dellar,F,5
Geneva,F,95
Pleas,M,5
Sanders,M,7
Louetta,F,10
Carlotta,F,9
Elfreda,F,6
Vena,F,13
Ples,M,8
Gerald,M,22
Guy,M,238
Archibald,M,19
Susie,F,485
Joy,F,7
Nathan,M,106
Billie,F,7
Vinnie,F,25
Caddie,F,7
Dayton,M,8
Harriett,F,89
Lelah,F,17
Bernadine,F,6
Soloman,M,8
Leeroy,M,5
Jessee,M,5
Mathew,M,31
Jake,M,90
Oda,F,12
Bertha,F,2037
Harve,M,11
Elta,F,10
Katharyn,F,5
Sidney,F,8
Genie,F,16
Minta,F,17
Dale,M,11
Emeline,F,11
Rush,M,6
Onnie,F,7
Etta,F,437
Vance,M,10
Rosa,F,659
Edwina,F,13
Glenna,F,16
Vallie,F,26
Merlin,M,8
Susannah,F,7
Howell,M,9
Josefa,F,11
Adrienne,F,5
Ozella,F,6
Vera,F,167
Antone,M,10
Solon,M,5
Cathrine,F,14
Laura,F,1364
Violet,F,97
Abraham,M,75
Cooper,M,5
Jossie,F,6
Ernie,M,10
Charlotte,F,351
Thelma,F,7
Olin,M,14
Josiephine,F,5
Carl,F,7
Berry,M,19
Furman,M,8
Angie,F,43
Liddie,F,14
Maryann,F,5
Duncan,M,18
Melissa,F,34
Simeon,M,6
Noah,M,94
Lea,F,9
Gertie,F,95
Franklin,M,89
Gay,F,10
Rebecca,F,275
Woodie,M,6
Ova,F,7
Mildred,F,373
George,M,4284
Alida,F,16
Evan,M,21
Amber,F,9
Myrtle,M,7
Lue,F,26
Oscar,M,574
Delphia,F,13
Edmond,M,36
Jessie,M,182
Orlena,F,5
Maurice,M,88
Delia,F,150
Dottie,F,15
Elisabeth,F,33
Adolph,M,90
Jewel,M,5
Margarita,F,8
Zelda,F,5
Thekla,F,9
Eddie,M,129
Zola,F,23
Madeleine,F,21
Cecilia,F,83
Hilma,F,26
Vivian,M,13
Wanda,F,29
Phillip,M,80
Cleora,F,5
Cliff,M,17
Timothy,M,54
Flossie,F,123
Huldah,F,15
Miranda,F,10
Virgie,F,100
Cathryn,F,8
Addie,M,6
Green,M,31
Gordon,M,47
Roberta,F,64
Ophelia,F,70
Della,F,496
Aurelia,F,25
Albertha,F,5
Theodore,M,201
Zora,F,46
Billy,M,6
Lauretta,F,17
Sarrah,F,6
Omie,F,9
Letha,F,45
Callie,F,167
Delphine,F,12
Gus,M,82
Gracie,F,40
Dessie,F,43
Prentiss,M,5
Palmer,M,13
Millie,F,168
Savannah,F,33
Vessie,F,5
Isabelle,F,108
Butler,M,9
Leon,M,147
Albin,M,12
Reinhold,M,5
Prince,M,18
Adolphus,M,19
Elizabeth,M,14
Justina,F,7
Warren,M,163
Nannie,F,340
Lemuel,M,39
Carolina,F,19
Roy,F,7
Evelina,F,18
Georgiana,F,28
Ila,F,43
Katherine,F,794
King,M,13
Eileen,F,15
Zadie,F,7
Thurman,M,14
Douglas,M,34
Mira,F,5
Jeremiah,M,38
Ignacio,M,9
Artie,F,46
Audra,F,9
Lois,F,129
Paulina,F,12
Verta,F,5
Manda,F,19
Lennie,F,35
Lew,M,13
Chin,M,5
Rome,M,5
Emile,M,21
Icy,F,9
Hildegarde,F,8
Alonzo,M,88
Blaine,M,12
Colonel,M,10
Launa,F,5
Fred,M,1454
Griffin,M,5
Eugenia,F,63
Malinda,F,50
Juliana,F,8
Norris,M,8
Elam,M,6
Alba,F,7
Cena,F,5
Juana,F,8
Oren,M,15
Stasia,F,5
Edward,F,11
Cecelia,F,92
Anis,F,5
Arizona,F,8
Alta,F,187
Sophie,F,149
Christian,M,47
Otha,M,8
Georgia,F,351
Thresa,F,6
Augustus,M,51
Everett,M,140
Willard,M,95
Zoe,F,34
Reed,M,5
Melinda,F,8
Freeman,M,26
Dinah,F,5
Byrde,F,6
Phoebe,F,63
Omer,M,22
Hedwig,F,25
Arthur,M,1489
Florance,F,7
Fay,F,47
Eulalia,F,9
Ann,F,239
Shirley,F,20
Weltha,F,7
Nelia,F,6
Calla,F,9
Dorothy,F,272
Freda,F,80
Merle,F,12
Myrle,F,6
Mallie,F,23
Aloysius,M,11
Orie,M,5
Landon,M,7
Zula,F,33
Meda,F,22
Saddie,F,5
Floride,F,5
Georgene,F,6
Robert,M,2125
Eldora,F,12
Martin,M,331
Leora,F,30
Tony,M,40
Hanna,F,27
Lavina,F,18
Bessie,F,1838
Mercedes,F,10
Edward,M,2125
Dennis,M,93
Mathilda,F,138
Buna,F,10
Lorraine,F,6
Shellie,F,7
Dulcie,F,6
Alfred,M,468
Benjaman,M,13
Rolland,M,9
Classie,F,9
Leontine,F,11
Alla,F,6
Irving,M,55
Anner,F,7
Casper,M,11
Newton,M,41
Idella,F,23
Houston,M,16
Persis,F,5
Ely,M,6
Lim,M,5
Simpson,M,7
Hardy,M,7
Delmar,M,7
William,F,44
Jodie,M,5
Zed,M,5
Refugia,F,7
Wilber,M,22
Winfred,M,8
Weaver,M,5
Jane,F,288
Eulalie,F,11
Haywood,M,14
Estella,F,260
Sibyl,F,6
Loda,F,5
Martha,F,1504
Ace,M,8
Grayce,F,13
Blair,M,5
Celie,F,7
Clementine,F,16
Verda,F,19
Lulie,F,7
Queenie,F,12
Andrea,F,7
Eliza,F,290
Susan,F,335
Bobbie,F,10
Dexter,M,9
Sid,M,10
Maynard,M,10
Nealie,F,6
Gabriel,M,18
Norbert,M,5
Tennessee,F,11
Jerry,M,98
Isiah,M,32
Gustaf,M,9
Theo,M,10
Delbert,M,28
Montgomery,M,5
Ben,M,305
Altha,F,13
Avie,F,6
Nanie,F,8
Sandy,M,19
Reginald,M,11
Orval,M,13
Erwin,M,24
Willam,M,8
Felix,M,82
Ocie,F,18
Rafaela,F,6
Matilda,F,266
Evelyn,F,194
Cornelius,M,79
Sampson,M,6
Alfredo,M,7
Parker,M,14
Alvin,M,128
Lou,F,147
Vennie,F,8
Russell,M,96
Jean,M,21
Arnold,M,38
Myrtice,F,6
Hattie,F,1135
Hester,F,89
Iza,F,5
Tennie,F,28
Addison,M,12
Orville,M,54
Cal,M,5
Alec,M,5
