name,gender,birth_count
Alton,M,760
May,M,11
Modesto,M,39
Vince,M,25
Jerry,F,254
Texas,F,5
Welcome,M,6
Jakie,M,18
Makoto,M,8
Roald,M,6
Daryl,M,117
Lillianne,F,6
Lorenze,M,5
Americus,M,7
Urban,M,61
Ima,F,232
Malcolm,F,9
Elon,F,5
Susia,F,5
Lanita,F,11
Lacie,F,11
Zada,F,29
Cleophus,M,23
Fairy,F,46
Cedric,M,51
Pericles,M,5
Valois,F,7
Hedy,F,17
Elena,F,242
Miyoko,F,17
Susie,F,1112
Pearson,M,6
Arless,M,5
Myer,M,16
Stevie,M,7
Miyuki,F,7
Luis,M,372
Rea,F,19
Rosalind,F,207
Everton,M,6
Eugenia,F,462
Eliza,M,9
Clarice,M,12
Lynford,M,5
Constantina,F,6
Osborn,M,12
Harl,M,9
Eudelia,F,9
Luisa,F,73
Ruthelma,F,5
Sherlee,F,6
Berneice,F,102
Dorsey,M,91
Orin,M,53
Soledad,F,51
Noma,F,45
Elouise,F,249
Kenneith,M,6
Grethel,F,10
Ada,F,1345
Hubert,F,12
Vermelle,F,9
Ferd,M,17
Williford,M,6
Jodie,M,46
Virgiline,F,5
Kazumi,M,8
Lerah,F,5
Kemp,M,9
Mitchell,M,298
Alie,F,5
Issiah,M,5
Alpheus,M,17
Dann,M,5
Garl,M,5
Simuel,M,7
Evanna,F,6
Marijean,F,8
Salvatore,F,6
Karl,M,629
Kenwood,M,10
Burnest,M,5
Delia,F,293
Alvis,F,11
Terence,M,39
Octaviano,M,5
Dwayne,M,89
Jerrine,F,10
Merelyn,F,5
Mardene,F,5
Banks,M,16
Elzora,F,24
Suzann,F,12
Novia,F,7
Steward,M,24
Almeda,F,78
Cecily,F,17
Clem,M,92
Wendy,F,16
Noami,F,11
Lorain,M,6
Darcus,F,10
Lovena,F,15
Merline,F,36
Theda,F,132
Nathanael,M,6
Madonna,F,112
Cornelius,M,391
Pandora,F,13
Gabrielle,F,26
Eudora,F,35
Henrine,F,5
Luke,M,158
Howard,F,41
Meriel,F,5
Eldra,F,5
Alexandra,F,40
Clairmont,M,5
Dorrance,M,13
Mazelle,F,7
Waylon,M,8
Hugh,M,1356
Marsh,M,10
Columbus,M,139
Tatsuo,M,8
Maitland,M,11
Demple,F,7
Norton,M,59
Dowell,M,8
Jimmie,F,565
Myrta,F,13
Inga,F,18
Bearl,M,8
Theophile,M,6
Verniece,F,14
Rebie,F,5
Masuo,M,5
Kennedy,M,8
Corwin,M,19
Viviana,F,5
Axel,M,23
Sylva,F,21
Naomia,F,36
Elsbeth,F,9
Renald,M,5
Rayburn,M,40
Kathaleen,F,52
Aurea,F,7
Hezzie,M,5
Geri,F,5
Atilano,M,6
Cassandra,F,9
Uldine,F,36
Ivanelle,F,5
Ferrel,M,11
Alexis,M,11
Jewel,M,132
Ragna,F,5
Ely,M,16
Margareta,F,17
Marijo,F,10
Josephine,F,6110
Field,M,5
Diva,F,5
Berge,M,5
Garcia,M,6
Sada,F,7
Leita,F,14
Nana,F,16
Perry,M,584
Varina,F,6
Junius,M,111
Watler,M,5
Rojelio,M,12
Clarabel,F,8
Clairene,F,5
Jerimiah,M,10
Rodell,M,7
Holmes,M,18
Maxton,M,5
Curry,M,18
Welton,M,43
Rosanne,F,31
Estus,M,5
Lige,M,25
Shella,F,5
Gennett,F,7
Farrel,M,13
Burris,M,7
Talton,M,7
Tamotsu,M,18
Suzanne,F,509
Eulalie,F,16
Clydell,F,5
Fayola,F,11
Nyle,M,10
Gloyd,M,7
Lenamae,F,5
Vivienne,F,64
Rozena,F,12
Willadene,F,9
Lynnette,F,7
Glennys,F,5
Rennie,F,11
Prudencia,F,9
Robbye,F,7
Rozell,F,10
Biddie,F,9
Yolanda,F,377
Marvin,M,4393
Dominic,M,414
Ellyn,F,19
Correne,F,10
Glema,F,7
Cara,F,25
Cuba,F,12
Cleda,F,42
Linna,F,7
Theolia,F,5
Basilio,M,16
Sadamu,M,6
Clementine,F,123
Stoy,M,5
Gerline,F,12
Dominga,F,69
Adolphus,M,65
Needham,M,15
Antonia,M,13
Titus,M,23
Jordon,M,11
Fedora,F,8
Tiney,M,5
Paris,M,37
Kemper,M,9
Queen,F,263
Warden,M,8
Chairty,F,5
Azie,F,6
Pegge,F,8
Monique,F,9
Yoshie,F,14
Rafael,F,5
Letcher,M,16
Theodora,M,6
Alvy,M,8
Kenji,M,16
Willard,F,31
Lindel,M,7
Pat,M,287
Peyton,M,25
Rigoberto,M,9
Annye,F,5
Glendoris,F,5
Maebelle,F,40
Danniel,M,8
Aulton,M,5
Clyda,F,14
Glenard,M,5
Matie,F,7
Elinore,F,80
Honey,F,27
Charlotta,F,11
Susanne,F,80
Donzel,M,8
Jc,M,13
Loney,M,17
Maurice,F,64
Olice,M,6
Elvia,F,35
Margarie,F,8
Maria,M,50
Georgene,F,71
Kathryne,F,64
Arlie,F,36
Ed,F,8
Maria,F,2592
Consuelo,F,358
Willetta,F,30
Kelsey,M,10
Chauncy,M,10
Marillyn,F,40
Shorty,M,6
Quinnie,F,5
Alphonse,M,196
Huey,M,114
Katherleen,F,5
Harrey,M,5
Berneta,F,10
Jun,M,5
Therman,M,30
Loel,M,7
Ortencia,F,5
Hewitt,M,16
Arie,M,12
Ailean,F,5
Countess,F,5
Cressie,F,14
Lister,M,5
Bevely,M,7
Bobbye,F,100
Micaela,F,38
Griffin,M,15
Martie,F,5
Duel,M,11
Iver,M,17
Lorn,M,14
Wave,F,6
Dorcie,M,5
Margaretta,F,32
Barney,M,193
Frank,M,14376
Eldora,F,147
Wardie,M,5
Dorse,M,12
Guinevere,F,16
Carlotta,F,38
Genella,F,7
Rodert,M,11
Delmo,M,10
Floyce,F,17
Stanwood,M,5
Stanly,M,10
Dera,F,8
Harriett,F,399
Jettie,F,73
Sarah,M,33
Dorothe,F,8
Joel,M,392
Severa,F,20
Vanessa,F,5
Celestine,M,10
Tunny,M,7
Gregg,M,18
Limmie,M,5
Horris,M,8
Fransisca,F,6
Ennis,M,51
Armeda,F,10
Ponce,M,5
Jerre,F,11
Alethia,F,21
Verna,M,17
Clarissa,F,62
Rae,F,183
Vonley,M,7
Daymon,M,6
Roberta,M,12
Rosie,M,21
Margret,F,199
Fan,F,7
Pierce,M,48
Ismay,F,7
Florent,M,6
Iverson,M,5
Julious,M,33
Robert,M,61664
Jhon,M,28
Tiburcio,M,10
Neomia,F,28
Betti,F,10
Inetha,F,6
Thea,F,40
Garland,F,9
Grover,M,491
Willella,F,8
Audie,M,32
Val,M,52
Manning,M,22
Margaree,F,18
Tommy,F,43
Classie,F,21
Gladyce,F,25
Davis,F,18
Selden,M,16
Elfriede,F,15
Carry,F,13
Antonia,F,335
Luvena,F,5
Armand,M,282
Mchenry,M,5
Luana,F,24
Nell,M,6
Norene,F,104
Remus,M,8
Refujio,M,6
Vergil,F,5
Junetta,F,8
Ples,M,12
Beulah,F,1658
Charlsie,F,43
Richerd,M,6
Rosalea,F,19
Euretha,F,9
Liza,F,32
Lanie,F,7
Luellen,F,8
Adren,M,6
Beauford,M,17
Elwillie,F,5
Dorothee,F,10
Kaoru,F,6
Irmalee,F,5
Posey,M,11
Lorriane,F,5
Raphael,F,6
Iretha,F,6
Oleda,F,13
Ottie,F,20
Harwell,M,5
Voda,F,5
Elliott,M,205
Malva,F,5
Jeane,F,127
Carleen,F,38
Pinkney,M,13
Morrell,M,13
Bernardine,F,81
Elva,M,25
Margeret,F,21
Niel,M,13
Elvera,F,145
Masayuki,M,8
Lieutenant,M,10
Lamarr,M,7
Anders,M,5
Mollye,F,6
Wayland,M,44
Billy,F,157
Lowry,M,6
Minerva,F,156
Gloria,F,8532
Davy,M,5
Trudy,F,47
Gwyn,F,6
Marcy,F,20
Cosby,M,9
Magnus,M,13
Purcell,M,6
Neta,F,52
June,F,5735
Ellene,F,18
Harlon,M,24
Edia,F,5
Ivan,F,5
Ether,M,8
Mella,F,6
Phylliss,F,15
Jose,M,1638
Justus,M,16
Chester,M,2407
Tessie,F,149
Coretha,F,10
Zygmunt,M,9
Cleotha,F,9
Carole,F,213
Terri,F,13
Nettye,F,5
Louretta,F,9
Ronna,F,5
Shelley,M,24
Lauretta,F,182
Corrie,M,5
Berta,F,130
Salvadore,M,19
Phillips,M,17
Aldeen,F,6
Margary,F,5
Manuella,F,9
Darold,M,72
Gabe,M,7
Lotus,F,15
Gretchen,F,142
Amber,F,26
Cloy,M,7
Bruce,M,1458
Shiro,M,12
Carroll,M,693
Aldene,F,14
Owens,M,23
Anneliese,F,10
Aldean,M,5
Wadsworth,M,5
Matthew,M,790
Rebekah,F,16
Lunette,F,8
Ivie,M,5
Gaither,M,14
Lila,F,1061
Hesper,F,5
Jerrel,M,19
Jan,F,49
Obie,M,52
Oval,M,18
Venson,M,13
Marcelaine,F,6
Denzel,F,7
Jerald,M,123
Mortimer,M,43
Connor,M,6
Arvy,M,6
Purvis,M,19
Robbie,F,354
Kansas,F,5
Joella,F,37
Utha,F,6
Loyola,F,18
Joeann,F,11
Hilburn,M,6
Josie,M,7
Eulas,M,15
Angelina,F,899
Nicoletta,F,21
Vester,M,65
Natsuko,F,8
Johny,M,57
Anona,F,11
Clay,F,9
Saundra,F,10
Richmond,M,45
Kathlean,F,5
Armida,F,40
Osie,M,21
Dempsy,M,10
Chere,F,5
Eusebio,M,41
Generoso,M,8
Acy,M,7
Shelly,M,20
Monta,F,10
Octave,M,11
Soloman,M,13
Zeferino,M,5
Bernell,F,27
Patrocinio,M,6
Jewett,M,7
Vonice,F,6
Corrine,F,350
Hilbert,M,42
Gloria,M,28
Adlene,F,5
Kent,M,124
Jobita,F,7
Joana,F,6
Deetta,F,11
Onnie,F,28
Bennie,M,853
Lovina,F,26
Sylvan,M,52
Lela,M,5
Aldus,M,6
Zulema,F,21
Lander,M,6
Wilhemina,F,12
Murrell,F,7
Merie,F,9
Levoy,M,6
Raynard,M,11
Reuben,F,5
Elnoria,F,8
Webb,M,27
Angela,M,8
Gray,M,17
Ellis,F,18
Estel,M,56
Venancio,M,7
Elzada,F,7
Ole,M,28
Toru,M,5
Edword,M,7
Vina,F,60
Isidora,F,8
Abbie,M,7
Alfredo,M,239
Roselene,F,6
Buna,F,18
Juliet,F,68
Teddy,F,21
Tunis,M,9
Ellouise,F,19
Lousie,F,9
Horace,F,11
Mabell,F,5
Ladonna,F,88
Lafern,F,9
Sylvania,F,9
Aslee,F,10
Hilmar,M,9
Carroll,F,68
Robyn,F,6
Florie,F,24
Eloisa,F,86
Evans,M,60
Ashley,M,50
Tony,M,1035
Atlee,M,12
Orel,M,11
Linford,M,18
Nelwyn,F,17
Pasquale,M,193
Ruthel,F,5
Halvor,M,10
Atwell,M,9
Orell,M,7
Lawernce,M,13
Pellegrino,M,5
Lus,F,6
Lerlene,F,5
Brunette,F,6
Kathrin,F,6
Rass,M,5
Lavetta,F,8
Manda,F,20
Fountain,M,10
Marko,M,11
Michaeline,F,7
Carmine,F,9
Willine,F,20
Fermin,M,34
Ellenora,F,6
Nathan,M,636
Willo,F,15
Rada,F,11
Maryellen,F,94
Verlyn,F,15
Gwendoline,F,5
Lucila,F,14
Akio,M,19
Vinton,M,19
Peg,F,6
Benford,M,12
Nunzio,M,47
Nile,M,29
Dewaine,M,9
Erika,F,17
Vergil,M,46
Rosco,M,36
Gaylord,M,134
Enos,M,53
Lebert,M,6
Concettina,F,14
Marsden,M,7
Adelia,F,64
Tarlton,M,5
Baker,M,14
Gonzala,F,6
Algie,M,32
Dorie,F,7
Lane,M,30
Nuel,M,6
Masanori,M,5
Francess,F,6
Adrian,M,221
Hartley,M,35
Ettore,M,10
Maryetta,F,18
Freddie,M,714
Thompson,M,15
Loise,F,24
Alder,F,5
Newell,M,63
Ervine,M,8
Ines,M,16
Charolette,F,19
Stafford,M,28
Starr,M,6
Lavera,F,62
Hattie,M,14
Ona,F,143
Mazzie,F,9
Lucius,M,118
Marius,M,9
Uel,M,5
Arline,F,531
Blanchie,F,30
Esmeralda,F,9
Margia,F,11
Luciana,F,10
Erick,M,16
Sylvio,M,27
Warner,M,92
Anton,M,165
Frederic,M,166
Edwin,F,35
Elisha,M,79
Paige,M,14
Tadeusz,M,10
Amer,M,5
Aldrich,M,9
Noella,F,23
Terrell,M,45
Wilda,F,389
Adelbert,M,36
Ulus,M,5
Reginald,M,447
Leonore,F,57
Carold,M,8
Electra,F,10
Mamie,M,11
Aurore,F,9
Irma,F,1169
Trueman,M,9
Hubbard,M,12
Lavoy,M,10
Gilmore,M,25
Jearl,F,5
Anselm,M,5
Vaughn,M,121
Donalda,F,8
Erdine,F,9
Feltus,M,5
Lawana,F,37
Everline,F,7
Eustacio,M,8
Ola,M,16
Clois,M,17
Teddie,F,7
Osbon,M,9
Neola,F,36
Eli,M,224
Cosimo,M,30
Alvey,M,9
Coit,M,5
Rosa,M,16
Rue,F,7
Loretha,F,24
Dasie,F,12
Doris,F,16514
Hazen,M,20
Burnes,F,5
Arcelia,F,5
Daris,F,20
Cleon,M,44
Hildreth,F,26
Alvia,M,16
Clevie,F,6
Alfred,M,4748
Victorino,M,6
Blanton,M,9
Evelyne,F,93
Elzia,M,6
Selda,F,5
Simeon,M,26
Sullivan,M,17
Freda,F,819
Delores,M,7
Ivey,M,26
Eleonore,F,30
Browder,M,5
Buddy,M,260
Ingrid,F,46
Butler,M,14
Orlyn,M,10
Magdelene,F,5
Leeanna,F,11
Harriet,M,10
Regena,F,16
Maura,F,11
Herma,F,18
Lindberg,M,41
Dave,M,378
Vander,M,9
Lenzy,M,9
Hall,M,23
Kimball,M,9
Erich,M,19
Margean,F,5
Irie,M,6
Artemio,M,6
Denman,M,8
Luva,F,5
Elvie,M,12
Doshia,F,10
Gracemary,F,5
Irven,M,40
Ozelle,F,10
Nicanor,M,6
Eldo,M,26
Rudine,F,8
Chales,M,5
Philias,M,5
Vennie,F,25
Handy,M,5
Harrietta,F,10
Dorris,F,272
Shannon,M,28
Wilford,M,232
Wheeler,M,22
Calliope,F,7
Rey,M,8
Giacomo,M,7
Connie,F,741
Reeves,M,16
Clarance,M,87
Lawrence,M,5570
Rosene,F,5
Edgar,F,11
Lanora,F,23
Melbalene,F,6
Wendelin,M,9
Elly,F,5
Paulie,M,11
Alan,F,7
Channie,F,6
Bill,M,2864
Barbra,F,42
Arden,F,9
Syble,F,172
Clova,F,5
Barnes,M,6
Arleene,F,10
Hercules,M,16
Cleotha,M,9
Fredia,F,32
Elizah,M,7
Aphrodite,F,16
Cleaston,M,6
Stillman,M,8
Desiderio,M,9
Rembert,M,12
Ramon,M,570
Linden,M,47
Else,F,11
Onna,F,5
Connie,M,88
Isla,F,20
Loren,F,5
Verginia,F,8
Katheleen,F,21
Ovila,M,10
Drewey,M,8
Felis,F,6
Alverta,F,54
Burr,M,16
Swan,M,9
Iven,M,11
Rosia,F,82
Verbon,M,5
Asencion,M,6
Capers,M,10
Paralee,F,24
Hinton,M,15
Naomie,F,12
Olean,F,28
Malissa,F,26
Venia,F,9
Agnes,M,16
Nestora,F,5
Metha,F,5
Emogean,F,8
Otha,M,114
Victory,F,5
Edwina,F,192
Bea,F,25
Granville,M,98
Anderson,M,130
Millage,M,5
Margene,F,34
Laurin,M,5
Hurman,M,13
Payton,M,17
Pollie,F,21
Armella,F,34
Willam,M,60
Della,F,948
Cooper,M,16
Malon,M,11
Clema,F,6
Leanard,M,14
Sadye,F,7
Georgie,M,33
Lurie,F,5
Orpah,F,8
Lonza,M,9
Layman,M,7
Winna,F,5
Anna,F,11212
Aldina,F,9
Hetty,F,9
Rinda,F,5
Velma,F,2288
Ester,M,24
Sims,M,5
Gwendolyn,F,959
Jack,F,82
Kate,F,151
Elynor,F,13
Elgie,F,21
Flossie,F,418
Guelda,F,8
Weyman,M,15
Lorris,M,6
Dillon,M,13
Louvenia,F,60
Avanelle,F,16
Patti,F,75
Wanda,M,19
Ileane,F,21
Llewellyn,M,58
Solomon,M,208
Burleigh,M,13
Joeanna,F,6
Valerian,M,17
Izell,M,7
Estelle,F,1238
Ezella,F,5
Ara,M,11
Carvin,M,7
Otis,M,901
Taeko,F,7
Zana,F,16
Glayds,F,8
Adriano,M,6
Manuel,M,1602
Mack,F,7
Delberta,F,7
Doyne,M,15
Jack,M,12796
Jeff,M,192
Ermagene,F,13
Marlin,F,7
Helmuth,M,22
Hale,M,22
Lareta,F,7
Catherine,F,7257
Marcedes,F,5
Rolando,M,8
Jermiah,M,8
Hilario,M,47
Mozell,M,16
Marvella,F,35
Edd,M,96
Kaye,M,12
Rosy,F,19
Theo,F,58
Roxanna,F,22
Wilmont,M,8
Walt,M,11
Mabeline,F,6
Jesus,M,728
Denelda,F,7
Analee,F,8
Frank,F,109
Lillion,F,11
Mena,F,6
Verlyn,M,43
Boyd,F,9
Marthie,F,5
Dorlene,F,20
Meryl,M,14
Bartlett,M,5
Sylvia,F,2347
Irena,F,13
Lova,F,13
Alma,F,2845
Jake,M,273
Othelia,F,9
Marin,M,8
Estanislao,M,5
Gwynne,F,5
Frederich,M,12
Gabriella,F,14
Galen,M,124
Gayle,F,96
Dudley,M,192
Onie,M,7
Price,M,42
Stanford,M,131
Margelene,F,5
