name,gender,birth_count
Trinna,F,6
Kwame,F,9
Jerrit,M,9
Lorenzo,F,12
Delvin,M,44
Justus,M,11
Genoveva,F,28
Hoyt,M,31
Cookie,F,10
Tatiana,F,51
Taran,M,9
Donalee,F,8
Levester,M,8
Lyle,M,395
Ronya,F,5
Kele,F,5
Rodriquez,M,22
Robbin,M,26
Pauletta,F,23
Jayleen,F,9
Shariff,M,14
Lashaunda,F,40
Quinn,M,148
Coralyn,F,7
Akira,M,6
Janel,M,5
Chet,M,133
Oliver,M,419
Barbarajean,F,8
Keene,M,5
Jack,M,2368
Trenell,M,5
Kalli,F,11
Elvera,F,5
Amberley,F,7
Pammy,F,32
Rose,M,9
Marcianne,F,7
Alissa,F,331
Nicol,M,6
Vickey,F,72
Cam,M,11
Mitzy,F,10
Erle,M,11
Vivien,F,10
Andy,F,9
Tanny,F,7
Dandrea,F,10
Marella,F,8
Cynitha,F,17
Lili,F,15
Cederick,M,13
Latonga,F,9
Dallin,M,5
Nekita,F,15
Andrella,F,9
Amit,M,19
Kesa,F,7
Taresa,F,12
Dinora,F,20
Eddy,F,5
Pleshette,F,15
July,F,11
Nasser,M,12
Tamir,M,5
Issa,M,5
Apolinar,M,6
Haim,M,5
Fredick,M,9
Happy,F,11
Lajuan,M,12
Noel,M,641
Douglass,M,121
Latavia,F,6
Darcie,F,211
Ginger,F,1670
Carlos,M,3424
Merrit,M,5
Alvie,M,27
Natasha,F,1303
Nadia,F,81
Demetrous,M,5
Armando,F,8
Toria,F,14
Teletha,F,8
Ladoris,F,5
Leo,M,653
Ginny,F,154
Clive,M,13
Tawna,F,32
Laurine,F,12
Jinnie,F,7
Rudolph,M,274
Donato,M,31
Raymand,M,5
Thais,F,27
Jonthan,M,21
Candus,F,8
Keisa,F,16
Tonyette,F,5
Kendrick,F,6
Gillis,M,5
Devonna,F,42
Roseann,F,166
Lyndee,F,5
Francisco,M,1225
Kam,F,5
Torsten,M,5
Deanna,M,19
Sol,F,20
Mazie,F,7
Shearon,F,7
Bradi,F,8
Micahel,M,28
Nanette,F,364
Christoper,M,90
Nadyne,F,6
Betrice,F,7
Toland,M,6
Dory,M,6
Clifton,M,642
Korin,F,15
Marybelle,F,10
Doral,M,12
Sedric,M,40
Earica,F,9
Korinne,F,8
Angelie,F,12
Elric,M,5
