name,gender,birth_count
Valeri,F,17
Malaney,F,5
Shatoya,F,22
Jenee,F,37
Sahib,M,6
Alecxia,F,5
Brentley,M,16
Fantasha,F,10
Raylene,F,52
Yuvia,F,6
Laryssa,F,35
Gamaliel,M,26
Cearia,F,8
Hershy,M,11
Endia,F,30
Brandy,F,1350
Hoyt,M,13
Quaneka,F,9
Elain,F,5
Fabian,M,772
Damiesha,F,6
Precious,M,7
Makenzy,F,17
Kelin,F,5
Finley,M,9
Juvencio,M,7
Jojo,M,9
Shaquesha,F,10
Dana,F,1806
Sha,M,6
Tyree,F,25
Domenique,F,27
Elmo,M,18
Sachin,M,16
Reynaldo,M,296
Shailey,F,7
Anish,M,33
Stefani,F,168
Nayla,F,16
Lezlee,F,6
Shatia,F,22
Caitriona,F,5
Aleecia,F,9
Lashun,F,6
Carsen,M,16
Aleck,M,14
Richy,M,5
Myrella,F,6
Safari,F,9
Nicolos,M,5
Zackari,M,5
Joanie,F,24
Alika,F,13
Sheyanne,F,37
Mary,M,10
Mesha,F,35
Cherrish,F,11
Gabryella,F,7
Mayme,F,9
Naseem,M,12
Ann,F,785
Demetrice,M,30
Claire,F,2172
Alaynna,F,6
Daylon,M,61
Chania,F,5
Brandonn,M,5
Olufunmilayo,F,5
Todd,M,1141
Violet,F,159
Aryonna,F,8
Basel,M,13
Rinesha,F,5
Emmanuell,M,5
Wali,M,10
Payten,F,23
Claris,F,5
Milos,M,9
Tramaine,F,6
Maegen,F,35
Isac,M,48
Basma,F,5
Rodny,M,5
Kalyne,F,6
Reuven,M,11
Farha,F,5
Akram,M,20
Bejamin,M,7
Quanteria,F,6
Dyrell,M,9
Columbia,F,5
Jaeda,F,12
Kushal,M,11
Samanntha,F,6
Darisha,F,7
Lakrista,F,8
Shaquaya,F,11
Samuel,F,44
Payden,F,10
Scout,F,31
Jamesha,F,151
Colton,M,2852
River,F,12
Nickole,F,50
Matthiew,M,5
Alphonzo,M,19
Sabrina,F,3383
Zayna,F,60
Rosalba,F,65
Josilyn,F,20
Tahara,F,9
Deidra,F,165
Rochelly,F,5
Danisha,F,154
Ericca,F,18
Jarid,M,52
Tasean,F,5
Elam,M,17
Tondra,F,8
Saraann,F,12
Tai,M,53
Kohlton,M,7
Melany,F,62
Jacquese,M,7
Brahm,M,5
Girl,F,17
Davelle,M,5
Charlsie,F,11
Nikkei,F,5
Jahmal,M,40
Jenni,F,45
Amanuel,M,7
Shaquandra,F,10
Rayanna,F,44
Romello,M,80
Aura,F,30
Mekayla,F,81
Ramanda,F,6
Anushka,F,7
Eros,M,13
Cornesha,F,18
Sherwood,M,10
Alexsys,F,8
Laquarius,M,5
Hailey,M,12
Saysha,F,5
Conny,F,7
Ranferi,M,5
Caius,M,5
Colm,M,14
Curtez,M,9
Divante,M,20
Deaira,F,19
Dilan,M,59
Perris,M,13
Wisdom,F,5
Shaunda,F,12
Sashalee,F,5
Karinne,F,8
Hiral,F,7
Dazia,F,7
Charly,M,18
